Country;Year;Daily cigarettes;Smokers.Total;Smokers.Female;Smokers.Male
Afghanistan;1980;5.6999998;733520;81707;651813
Afghanistan;1981;5.8000002;720102;79276;640826
Afghanistan;1982;5.8000002;700415;76061;624355
Afghanistan;1983;5.9000001;676984;72411;604572
Afghanistan;1984;6.0;653812;68908;584905
Afghanistan;1985;6.0999999;634732;65946;568786
Afghanistan;1986;6.0999999;619871;63570;556301
Afghanistan;1987;6.0999999;608651;61716;546936
Afghanistan;1988;6.0;606307;60768;545540
Afghanistan;1989;5.9000001;619534;61324;558210
Afghanistan;1990;5.8000002;652030;63711;588319
Afghanistan;1991;5.5999999;707278;68289;638989
Afghanistan;1992;5.4000001;783101;74721;708380
Afghanistan;1993;5.0999999;869965;82119;787847
Afghanistan;1994;4.6999998;954455;89356;865100
Afghanistan;1995;45416,00;1028533;95703;932830
Afghanistan;1996;4.3000002;1086454;100795;985659
Afghanistan;1997;4.0999999;1131993;106644;1025349
Afghanistan;1998;3.9000001;1163473;111314;1052159
Afghanistan;1999;45507,00;1192680;115541;1077138
Afghanistan;2000;45476,00;1228925;120114;1108812
Afghanistan;2001;3.5999999;1274895;125384;1149511
Afghanistan;2002;45476,00;1329825;131469;1198356
Afghanistan;2003;45507,00;1390046;137947;1252098
Afghanistan;2004;45507,00;1449475;144378;1305098
Afghanistan;2005;4.0;1504433;150483;1353950
Afghanistan;2006;4.0999999;1553745;156158;1397587
Afghanistan;2007;4.3000002;1599691;161714;1437977
Afghanistan;2008;4.4000001;1644245;167313;1476933
Afghanistan;2009;4.5999999;1691957;173446;1518511
Afghanistan;2010;4.9000001;1743624;179969;1563656
Afghanistan;2011;5.0999999;1800309;186782;1613527
Afghanistan;2012;5.1999998;1862700;193836;1668864
Albania;1980;18.700001;360902;27584;333318
Albania;1981;45400,00;371658;28413;343245
Albania;1982;18.200001;382557;29246;353311
Albania;1983;45552,00;393867;30082;363785
Albania;1984;17.700001;405919;30947;374972
Albania;1985;45429,00;418871;31869;387002
Albania;1986;17.299999;433002;32809;400193
Albania;1987;17.0;448005;33774;414231
Albania;1988;16.799999;462614;34717;427897
Albania;1989;45428,00;474490;35487;439003
Albania;1990;45398,00;482850;36047;446803
Albania;1991;16.299999;487892;36412;451479
Albania;1992;16.299999;489417;36574;452844
Albania;1993;16.200001;488078;36552;451527
Albania;1994;45307,00;485775;36458;449317
Albania;1995;45307,00;483593;36355;447238
Albania;1996;16.0;481723;36235;445488
Albania;1997;16.299999;475222;35989;439233
Albania;1998;45428,00;470397;35767;434630
Albania;1999;16.700001;465894;35466;430428
Albania;2000;16.799999;461078;35035;426043
Albania;2001;45308,00;455877;34513;421364
Albania;2002;45399,00;450636;34027;416609
Albania;2003;18.200001;434588;33277;401310
Albania;2004;45553,00;422860;33057;389803
Albania;2005;19.0;426583;34169;392414
Albania;2006;45310,00;433852;35832;398020
Albania;2007;19.200001;443830;37914;405916
Albania;2008;19.200001;455797;40251;415547
Albania;2009;19.299999;469352;42768;426584
Albania;2010;45431,00;481678;44575;437103
Albania;2011;19.700001;494981;46461;448520
Albania;2012;45554,00;509040;48426;460614
Algeria;1980;45310,00;1636110;44442;1591668
Algeria;1981;45553,00;1696285;45828;1650458
Algeria;1982;18.799999;1759249;47141;1712108
Algeria;1983;18.700001;1826283;48495;1777788
Algeria;1984;45430,00;1896411;49825;1846585
Algeria;1985;18.299999;1969586;51172;1918414
Algeria;1986;18.200001;2045829;52557;1993272
Algeria;1987;45309,00;2125295;53944;2071351
Algeria;1988;18.0;2211486;55520;2155965
Algeria;1989;17.799999;2302051;57180;2244871
Algeria;1990;17.700001;2396876;58967;2337909
Algeria;1991;45460,00;2497165;60977;2436188
Algeria;1992;45399,00;2602202;62893;2539310
Algeria;1993;17.299999;2714059;64808;2649251
Algeria;1994;17.200001;2831649;66621;2765029
Algeria;1995;17.0;2954172;68475;2885697
Algeria;1996;16.799999;3081682;70447;3011235
Algeria;1997;17.0;3138907;72246;3066661
Algeria;1998;17.200001;3190250;73875;3116375
Algeria;1999;45399,00;3243047;75392;3167655
Algeria;2000;45429,00;3296121;76851;3219270
Algeria;2001;17.700001;3344091;78444;3265647
Algeria;2002;18.0;3378788;80134;3298655
Algeria;2003;18.799999;3297692;81728;3215964
Algeria;2004;19.700001;3205753;83812;3121941
Algeria;2005;20.700001;3115071;86448;3028623
Algeria;2006;45464,00;3051530;90939;2960591
Algeria;2007;45434,00;2999483;96011;2903472
Algeria;2008;23.299999;2962131;101419;2860712
Algeria;2009;45315,00;2944512;107066;2837446
Algeria;2010;45467,00;2948128;112915;2835213
Algeria;2011;45467,00;3028690;117718;2910972
Algeria;2012;45406,00;3123101;122671;3000430
Andorra;1980;45460,00;7636;3244;4391
Andorra;1981;17.799999;8671;3676;4994
Andorra;1982;45309,00;9232;3909;5323
Andorra;1983;45400,00;9711;4105;5606
Andorra;1984;18.799999;10058;4244;5814
Andorra;1985;45310,00;10585;4457;6128
Andorra;1986;19.299999;11102;4663;6439
Andorra;1987;45431,00;11436;4791;6644
Andorra;1988;45431,00;11861;4960;6901
Andorra;1989;45431,00;12139;5067;7071
Andorra;1990;45431,00;12649;5272;7378
Andorra;1991;45401,00;13530;5629;7900
Andorra;1992;45431,00;14305;5937;8368
Andorra;1993;19.700001;15001;6207;8793
